MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21732170,559000.0,85641,-110.662665,32.092208,2.08,6179.23,2003,4,3.0,3079.0,2.0,10,2.0,1,45.0
21809829,555000.0,85641,-110.663062,32.09339,2.06,6314.76,2005,3,3.0,2924.0,3.0,11,1.0,2,45.0
21808412,545000.0,85749,-110.739628,32.266742,0.95,5297.88,1992,6,4.0,3258.0,3.0,9,3.0,3,45.0
21809146,557000.0,85712,-110.885743,32.260132,0.26,988.47,2018,3,4.0,2485.0,2.0,12,0.0,1,45.0
21823294,552200.0,85747,-110.735149,32.145539,20.0,8246.65,1973,3,3.0,2707.0,2.0,10,2.0,3,45.0
21900301,510000.0,85755,-110.93794,32.455804,0.17,3638.67,1994,2,3.0,2447.0,2.0,11,1.0,3,45.0
21907419,550000.0,85614,-110.940929,31.878438,0.3,4916.06,2013,3,4.0,2564.0,2.5,4,0.0,1,45.0
21908615,560000.0,85718,-110.880164,32.305714,1.22,3660.81,1980,3,3.0,2790.0,2.0,8,1.0,3,45.0
21908181,525000.0,85742,-111.036743,32.371451,1.53,5174.75,2000,5,3.0,3259.0,3.0,9,1.0,2,45.0
21917296,555000.0,85750,-110.813901,32.296092,0.78,3879.35,1964,3,3.0,3230.0,2.5,11,1.0,2,45.0
21311887,557000.0,85745,-111.06586,32.240943,1.57,6992.08,2006,4,4.0,3594.0,3.0,3,1.0,3,45.0
21403017,536000.0,85750,-110.865058,32.277973,0.56,4528.14,1984,3,4.0,3121.0,2.0,4,3.0,3,45.0
21324890,525000.0,85737,-110.967045,32.412281,3.38,5714.0,1998,4,3.0,3297.0,3.0,4,2.0,2,45.0
21400334,495000.0,85718,-110.876375,32.325839,0.97,4711.31,1980,3,2.0,2841.0,2.0,5,1.0,2,45.0
21411531,545000.0,85750,-110.856225,32.288088,0.87,5344.98,1984,3,4.0,2971.0,2.0,5,1.0,3,45.0
21402837,545000.0,85742,-111.080822,32.386294,3.31,3640.39,2002,3,3.0,2777.0,3.0,4,2.0,1,45.0
21411582,512500.0,85718,-110.952047,32.330328,0.81,4791.13,1985,4,3.0,3614.0,2.0,4,1.0,2,45.0
21423781,535000.0,85739,-110.858866,32.544628,0.31,3906.24,2006,2,3.0,2651.0,3.0,5,1.0,3,45.0
21500343,560000.0,85715,-110.862237,32.26314,0.73,5926.12,1970,3,3.0,3333.0,2.0,4,1.0,2,45.0
21512120,552000.0,85750,-110.854508,32.288382,0.52,5939.84,1989,3,3.0,3052.0,3.0,5,1.0,2,45.0
21502493,525000.0,85718,-110.941057,32.333584,0.94,5296.04,1993,4,3.0,3292.0,3.0,5,2.0,3,45.0
21513745,560000.0,85730,-110.76621,32.172224,4.23,5933.44,2001,5,4.0,3867.0,2.0,5,1.0,3,45.0
21514283,550000.0,85737,-111.006268,32.413739,0.55,4445.94,1999,3,3.0,3025.0,3.0,5,2.0,2,45.0
21508346,522000.0,85718,-110.895976,32.328485,0.86,4852.75,1977,3,3.0,3002.0,2.0,4,2.0,2,45.0
21514366,527150.0,85750,-110.82352,32.274529,1.82,7269.04,1991,5,5.0,3991.0,4.0,5,1.0,2,45.0
21532096,559000.0,85718,-110.887104,32.328061,0.81,5217.0,1974,3,2.0,3787.0,2.0,4,2.0,2,45.0
21602710,569000.0,85749,-110.723684,32.244286,0.87,4897.0,1988,4,4.0,4133.0,3.0,5,3.0,3,45.0
21521465,525000.0,85718,-110.924317,32.321761,0.28,4848.03,2003,3,3.0,2653.0,3.0,4,2.0,2,45.0
21605206,545000.0,85718,-110.883863,32.319076,0.83,3897.57,1978,3,4.0,2436.0,2.0,3,1.0,2,45.0
21603489,528500.0,85737,-110.958601,32.41499,1.61,5324.31,1987,4,4.0,3007.0,2.0,5,2.0,3,45.0
21625410,555000.0,85718,-110.896603,32.331043,0.82,4965.8,1971,3,3.0,2864.0,2.0,5,2.0,2,45.0
21201707,550000.0,85750,-110.826648,32.31575,0.95,4028.0,1991,3,3.0,2758.0,2.0,6,2.0,2,45.0
21217997,550000.0,85718,-110.933653,32.329485,1.01,4394.0,1993,4,3.0,2924.0,3.0,5,1.0,2,45.0
21226279,550000.0,85750,-110.857463,32.31105,0.9,4078.52,1994,4,3.0,2816.0,2.0,5,4.0,2,45.0
21307251,536000.0,85750,-110.865044,32.29558,0.77,4683.0,1993,4,4.0,3797.0,3.0,5,2.0,1,45.0
21314587,562500.0,85749,-110.704712,32.242066,3.4,5154.0,1984,4,3.0,3843.0,3.0,5,2.0,4,45.0
